1403715893.734058 -0.001502 -0.000745 -0.002443 0.802473 -0.036695 0.594685 0.032262
1403715893.834058 -0.002131 -0.000481 -0.001846 0.826528 -0.054294 0.555962 0.069361
1403715893.934058 -0.008237 0.006373 0.008427 0.820339 -0.057370 0.564868 0.068384
1403715894.034058 -0.012002 0.012607 0.016789 0.803010 -0.076358 0.584567 0.087327
1403715894.134058 -0.014588 0.021492 0.024901 0.792988 -0.096914 0.590334 0.115252
1403715894.234058 -0.020002 0.034267 0.039562 0.783788 -0.090649 0.601200 0.126563
1403715894.334058 -0.027765 0.053207 0.069415 0.771595 -0.074918 0.619416 0.123902
1403715894.434058 -0.038418 0.072218 0.099627 0.770786 -0.049349 0.627491 0.098534
1403715894.534058 -0.041456 0.099143 0.117232 0.774881 -0.052751 0.622553 0.095940
1403715894.634058 -0.058652 0.133188 0.144780 0.768629 -0.048349 0.633003 0.078613
1403715894.734058 -0.058450 0.170940 0.162234 0.766071 -0.060350 0.634945 0.079608
1403715894.834058 -0.050764 0.202836 0.181026 0.761139 -0.065295 0.641114 0.073334
1403715894.934058 -0.041306 0.231972 0.199659 0.757321 -0.063109 0.646594 0.066330
1403715895.034058 -0.032298 0.267223 0.220706 0.754543 -0.064787 0.649757 0.065442
1403715895.134058 -0.030345 0.297911 0.239309 0.754926 -0.058404 0.650847 0.055448
1403715895.234058 -0.032274 0.335787 0.260230 0.758135 -0.048483 0.649062 0.039993
1403715895.334058 -0.022359 0.383177 0.282442 0.755755 -0.056079 0.650680 0.048021
1403715895.434058 0.025208 0.431667 0.293653 0.756558 -0.107363 0.633979 0.119012
1403715895.534058 0.073946 0.468122 0.300016 0.758376 -0.128735 0.619929 0.154859
1403715895.634058 0.084537 0.509637 0.317077 0.759354 -0.124399 0.621261 0.148127
1403715895.734058 0.095749 0.548715 0.332444 0.760423 -0.121686 0.621715 0.142897
1403715895.834058 0.106406 0.589689 0.348079 0.760840 -0.119727 0.622354 0.139509
1403715895.934058 0.116380 0.630365 0.364073 0.760962 -0.117513 0.623359 0.136204
1403715896.034058 0.126377 0.671573 0.379359 0.761523 -0.117377 0.623896 0.130610
1403715896.134058 0.137202 0.710871 0.392633 0.762281 -0.118856 0.624596 0.121162
1403715896.234058 0.148659 0.747067 0.403237 0.760446 -0.125305 0.627689 0.109666
1403715896.334058 0.161455 0.780110 0.416375 0.755150 -0.135469 0.634411 0.094444
1403715896.434058 0.168015 0.808152 0.432683 0.751155 -0.142495 0.639556 0.080184
1403715896.534058 0.168268 0.822024 0.447029 0.747624 -0.146667 0.643973 0.069620
1403715896.634058 0.160447 0.822154 0.462843 0.742912 -0.148755 0.649636 0.062664
1403715896.734058 0.145320 0.809665 0.479573 0.740384 -0.149715 0.652677 0.058556
1403715896.834058 0.116347 0.831958 0.525136 0.744349 -0.130579 0.654413 0.025228
1403715896.934058 0.083569 0.795559 0.548437 0.748094 -0.127507 0.651200 0.005979
1403715897.034058 0.050691 0.743055 0.566278 0.749381 -0.137856 0.647611 -0.004898
1403715897.134058 0.010672 0.669148 0.586339 0.749624 -0.143854 0.645969 -0.009683
1403715897.234058 -0.034391 0.573773 0.608116 0.751532 -0.140627 0.644528 -0.002804
1403715897.334058 -0.083640 0.459018 0.630610 0.756785 -0.126187 0.640934 0.023581
1403715897.434058 -0.124431 0.328049 0.657251 0.763016 -0.106405 0.635620 0.049717
1403715897.534058 -0.166422 0.191932 0.681422 0.765367 -0.095652 0.633151 0.064676
1403715897.634058 -0.210016 0.056236 0.700070 0.765686 -0.100293 0.631893 0.066162
